Date,Open,High,Low,Close,Adj Close,Volume
2022-05-25,122.428993,122.428993,122.414040,122.657196,122.657196,0
2022-05-26,121.951469,122.554276,121.951469,122.414040,122.414040,0
2022-05-27,122.498085,122.498085,122.498085,122.554276,122.554276,0
2022-05-30,122.225227,122.382301,122.225227,122.498085,122.498085,0
2022-05-31,122.764961,122.764961,122.576637,122.382301,122.382301,0
2022-06-01,122.221291,122.434814,122.221291,122.576637,122.576637,0
2022-06-02,123.155167,123.155167,122.502419,122.434814,122.434814,0
2022-06-03,121.745834,122.644279,121.745834,122.502419,122.502419,0
2022-06-06,122.881180,122.881180,122.566635,122.843925,122.843925,0
2022-06-07,123.061661,123.061661,122.902924,122.566635,122.566635,0
2022-06-08,122.663277,122.663277,122.662056,122.902924,122.902924,0
2022-06-09,122.781143,122.808083,122.781143,122.662056,122.662056,0
2022-06-10,123.873352,123.873352,122.924225,122.808083,122.808083,0
2022-06-13,124.133461,124.133461,123.379814,123.751663,123.751663,0
2022-06-14,123.866364,123.866364,123.229340,123.379814,123.379814,0
2022-06-15,123.268318,123.268318,123.198120,123.229340,123.229340,0
2022-06-16,123.568771,123.568771,123.266556,123.198120,123.198120,0
2022-06-17,121.616638,123.220573,121.616638,123.266556,123.266556,0
2022-06-20,123.540512,123.540512,123.236427,123.494621,123.494621,0
2022-06-21,123.160385,123.275795,123.160385,123.236427,123.236427,0
2022-06-22,123.727814,123.727814,123.496483,123.275795,123.275795,0
2022-06-23,122.885674,123.707687,122.885674,123.496483,123.496483,0
2022-06-24,123.530083,123.640038,123.530083,123.707687,123.707687,0
2022-06-27,123.362473,123.667053,123.362473,123.640038,123.640038,0
2022-06-28,123.731949,124.374794,123.731949,123.667053,123.667053,0
2022-06-29,125.047531,125.047531,124.681984,124.374794,124.374794,0
2022-06-30,125.690369,125.690369,124.536301,124.681984,124.681984,0
2022-07-01,123.715118,124.640533,123.715118,124.536301,124.536301,0
2022-07-04,124.859726,124.859726,124.664703,124.640533,124.640533,0
2022-07-05,124.894096,124.894188,124.894096,124.664703,124.664703,0
2022-07-06,125.316917,125.316917,125.282776,124.894188,124.894188,0
2022-07-07,125.354721,125.354721,125.003677,125.282776,125.282776,0
2022-07-08,125.061966,125.061966,124.643188,125.003677,125.003677,0
2022-07-11,124.915680,125.547783,124.915680,124.545898,124.545898,0
2022-07-12,126.231758,126.231758,125.552170,125.547783,125.547783,0
2022-07-13,125.499596,125.642670,125.499596,125.552170,125.552170,0
2022-07-14,126.130318,126.130318,126.026962,125.642670,125.642670,0
2022-07-15,125.961555,126.075996,125.961555,126.026962,126.026962,0
2022-07-15,127.867599,127.867599,127.867599,127.867599,127.867599,0
